Datum;Zeit;Stickstoffmonoxid (NO)[µg/m³];Stickstoffdioxid (NO2)[µg/m³];Kohlenmonoxid (CO)[mg/m³];Benzol[µg/m³];PM10[µg/m³];PM2,5[µg/m³];Temperatur[°C];Luftdruck[hPa]
14.01.2021;08:00;55,8;49,8;0,36;1,25;7,6;3,9;2,0;1018
14.01.2021;09:00;44,3;42,0;0,34;1,28;8,8;4,1;2,0;1018
14.01.2021;10:00;42,0;43,3;0,37;1,38;11,0;4,8;2,0;1018
14.01.2021;11:00;65,2;55,8;0,40;1,35;11,1;5,0;2,3;1020
14.01.2021;12:00;56,4;48,2;0,32;1,70;14,3;5,8;2,6;1020
14.01.2021;13:00;34,0;39,0;0,31;1,18;13,4;5,6;2,9;1020
14.01.2021;14:00;21,8;30,8;0,22;1,17;15,1;5,8;2,8;1020
14.01.2021;15:00;21,8;36,2;0,23;0,94;12,4;5,4;2,7;1019
14.01.2021;16:00;21,4;40,2;0,26;1,03;12,9;5,8;2,4;1019
14.01.2021;17:00;22,9;44,4;0,33;1,17;12,0;6,5;2,0;1019
14.01.2021;18:00;21,0;48,7;0,30;1,20;11,7;7,6;1,6;1020
14.01.2021;19:00;15,8;42,2;0,24;1,04;11,2;8,0;1,2;1019
14.01.2021;20:00;12,0;42,2;0,25;0,92;11,6;9,0;1,0;1019
14.01.2021;21:00;15,0;39,8;0,26;0,98;10,7;8,4;1,0;1019
14.01.2021;22:00;6,6;27,4;0,18;0,91;8,9;6,6;0,8;1019
14.01.2021;23:00;4,6;20,7;0,16;0,70;6,7;5,4;0,7;1019
14.01.2021;24:00;2,3;16,9;0,15;0,62;6,2;5,0;0,6;1019
